gene,AGH,CFB,CGC,CHC,HPB,Overall
EIF6,49.77850033322856,91.12268942988639,89.24640629705087,65.83655528522048,82.08395470522176,75.61362121012161
PDE6D,71.3447421134226,100,95.19334298267943,56.389212821483646,50.26154110247264,74.63776780401166
CDK6,74.07164707051408,91.79950903432967,48.0115988039491,72.2138208647432,66.6428458919167,70.54788433309055
SULT1B1,63.13845884674066,88.51189793059261,76.85075718384736,60.68205573663646,61.959158854043835,70.22846571037219
RUFY1,48.230159780863225,70.09965057859856,75.60631647505069,56.202611507518895,86.3790956119313,67.30356679079253
ZC3H12D,76.85266802027473,62.66260396311702,77.0254106605339,53.51928739304223,63.75451541022517,66.76289708943861
CPSF2,50.28272739401189,80.982250535448,53.4234998740445,91.16000088965802,55.84938922263946,66.33957358316037
ZMAT2,62.65684028661332,91.19938983408483,86.12832095242209,40.08161561431279,51.15974028649346,66.24518139478529
YWHAE,63.976910424143,78.01469758256388,54.62001262281475,63.846008767080285,57.96711224884954,63.68494832909029
LYPD6B,33.73982728554394,75.41365154891952,68.14107057623987,53.23132721788495,77.24073025305674,61.553321376329
CD72,76.19692931587662,59.52179107611122,55.98044580897662,49.26677003691269,66.7319656082492,61.53958036922527
RAB3D,44.99001576698706,75.41847576745548,65.85222124373857,82.68190129607194,38.543994081021104,61.49732163105483
ATP5PD,78.56857911209102,64.62924864014886,65.2888884873982,42.8249424566063,56.05894873652007,61.47412148655289
OR51F1,50.041923723889845,76.58270559510191,55.452066627625754,82.67947575081891,37.91315472583033,60.53386528465335
ZNF567,66.1704908220189,76.04125299928967,49.87275304037944,31.129127312370365,79.26714033596728,60.496152902005136
OTC,35.877903067015666,74.97749742273282,71.51235163459448,65.94820097351553,50.41902898094068,59.74699641575984
EXOSC10,72.10069807553221,86.18884293910135,30.507962900495794,46.37643184899138,58.49134940793669,58.73305703441149
PODNL1,63.771242142872595,52.46788176864457,53.28888436800134,49.38614221409395,66.93533525123327,57.16989714896914
ANKRD63,47.273017343030304,64.2570873170603,49.253589306594684,71.54333070399102,53.27867140930628,57.121139215996514
MACC1,53.716479616613114,66.01418119650894,68.92747914678444,33.86613744568954,62.213955035191006,56.94764648815741
C6orf132,55.75002186103263,64.99560723921275,39.11893714306001,52.4821764200196,70.89950190402013,56.64924891346902
CCNYL1B,45.702140901386805,44.080947960663636,67.84181000084246,68.72582378219003,56.414794326041616,56.55310339422491
CDC42SE1,47.47068579193371,72.3523903235264,45.26775588646063,39.37209544966531,77.08104081700444,56.3087936537181
CLK3,54.511437347058134,61.287006386605256,64.30843905909882,62.20757060054349,39.01969958122766,56.26683059490667
PEPD,35.27874624072913,68.50424779390761,65.19892921032326,52.01477733738552,59.8248080844335,56.1643017333558
